159;2;2;8;ANGELES (ANGELES SUR)
160;2;2;9;ALFARO
161;2;2;10;VOLIO
162;2;2;11;CONCEPCION
163;2;2;12;ZAPOTAL (SAN ANTONIO)
164;2;2;13;PEÑAS BLANCAS (SAN ISIDRO)
165;2;3;0;GRECIA
166;2;3;1;GRECIA
167;2;3;2;SAN ISIDRO
168;2;3;3;SAN JOSE
169;2;3;4;SAN ROQUE
170;2;3;5;TACARES
171;2;3;6;RIO CUARTO
172;2;3;7;PUENTE DE PIEDRA
173;2;3;8;BOLIVAR (ANGELES)
174;2;4;0;SAN MATEO
175;2;4;1;SAN MATEO
176;2;4;2;DESMONTE
177;2;4;3;JESUS MARIA
178;2;5;0;ATENAS
179;2;5;1;ATENAS
180;2;5;2;JESUS
181;2;5;3;MERCEDES
182;2;5;4;SAN ISIDRO
183;2;5;5;CONCEPCION
184;2;5;6;SAN JOSE
185;2;5;7;SANTA EULALIA
186;2;6;0;NARANJO
187;2;6;1;NARANJO
188;2;6;2;SAN MIGUEL
189;2;6;3;SAN JOSE (SAN JUANILLO)
190;2;6;4;CIRRI SUR
191;2;6;5;SAN JERONIMO
192;2;6;6;SAN JUAN
193;2;6;7;ROSARIO
194;2;7;0;PALMARES
195;2;7;1;PALMARES
196;2;7;2;ZARAGOZA
197;2;7;3;BUENOS AIRES
198;2;7;4;SANTIAGO
199;2;7;5;CANDELARIA
200;2;7;6;ESQUIPULAS
201;2;7;7;GRANJA
202;2;8;0;POAS
203;2;8;1;SAN PEDRO
204;2;8;2;SAN JUAN (SAN JUAN SUR)
205;2;8;3;SAN RAFAEL
206;2;8;4;CARRILLOS
207;2;8;5;SABANA REDONDA
208;2;9;0;OROTINA
209;2;9;1;OROTINA
210;2;9;2;EL MASTATE
211;2;9;3;HACIENDA VIEJA
212;2;9;4;COYOLAR
213;2;9;5;CEIBA
214;2;10;0;SAN CARLOS
215;2;10;1;QUESADA
216;2;10;2;FLORENCIA
217;2;10;3;BUENAVISTA
218;2;10;4;AGUAS ZARCAS
